id,name,country,country_id
1,Alabama,United States,224
2,Alaska,United States,224
3,Arizona,United States,224
4,Arkansas,United States,224
5,California,United States,224
6,Colorado,United States,224
7,Connecticut,United States,224
8,Delaware,United States,224
9,District of Columbia,United States,224
10,Florida,United States,224
11,Georgia,United States,224
12,Hawaii,United States,224
13,Idaho,United States,224
14,Illinois,United States,224
15,Indiana,United States,224
16,Iowa,United States,224
17,Kansas,United States,224
18,Kentucky,United States,224
19,Louisiana,United States,224
20,Maine,United States,224
21,Maryland,United States,224
22,Massachusetts,United States,224
23,Michigan,United States,224
24,Minnesota,United States,224
25,Mississippi,United States,224
26,Missouri,United States,224
27,Montana,United States,224
28,Nebraska,United States,224
29,Nevada,United States,224
30,New Hampshire,United States,224
31,New Jersey,United States,224
32,New Mexico,United States,224
33,New York,United States,224
34,North Carolina,United States,224
35,North Dakota,United States,224
36,Ohio,United States,224
37,Oklahoma,United States,224
38,Oregon,United States,224
39,Pennsylvania,United States,224
40,Rhode Island,United States,224
41,South Carolina,United States,224
42,South Dakota,United States,224
43,Tennessee,United States,224
44,Texas,United States,224
45,Utah,United States,224
46,Vermont,United States,224
47,Virginia,United States,224
48,Washington,United States,224
49,West Virginia,United States,224
50,Wisconsin,United States,224
51,Wyoming,United States,224
